name;description;version;url
LNX's utility library;A collection of utility functions for Lmaobox.;1.0.0;https://github.com/lnx00/Lmaobox-Library/releases/download/v1.00.0/lnxLib.lua
TimMenu utility library;Terminator's Immediate-Mode Menu for Lmaobox.;1.8.4;https://github.com/titaniummachine1/TimMenu/releases/download/v1.8.4/TimMenu.lua
Changelog Viewer;View Lmaobox's changelog;1.0.0;https://github.com/uosq/lbox-changelog-show/releases/download/store/changelog-viewer.lua
Auto Queue;Automatically queue;1.0.0;https://raw.githubusercontent.com/uosq/lmaobox-luas/refs/heads/main/auto%20queue.lua
Gradient backtrack;Make your backtrack have cool colors;1.0.0;https://raw.githubusercontent.com/uosq/lmaobox-luas/refs/heads/main/gradient%20backtrack.lua
Snow;Make snow appear on your screen (2D);1.0.0;https://raw.githubusercontent.com/uosq/lmaobox-luas/refs/heads/main/snow.lua
Medieval Camera;Use Medieval mode's thirdperson camera;1.0.0;https://raw.githubusercontent.com/uosq/lmaobox-luas/refs/heads/main/medieval%20camera.lua
Smooth Dash;Makes your dash smooth;1.0.0;https://github.com/uosq/smooth-dash/releases/download/store/smooth-dash.lua
Auto Trickstab;Automaticly Warps For Trickstabs;2.3.1;https://github.com/titaniummachine1/Auto_Trickstab/releases/download/v2.3.1/Auto.Trickstab.lua
Navet's Projectile Aimbot;Custom projectile aimbot;10.0.0;https://github.com/uosq/lbox-projectile-aimbot/releases/download/v10/projaimbot.lua
Radar;Custom radar;1.0.0;https://github.com/uosq/lbox-radar/releases/download/v1/radar.lua
Auto Sticky;Auto Stickies with Delay;1.0.0;https://raw.githubusercontent.com/uosq/lmaobox-luas/refs/heads/main/auto%20sticky%20delay.lua
Sakura Rain;Rain cherry blossom petals;1.0.0;https://raw.githubusercontent.com/uosq/lmaobox-luas/refs/heads/main/sakura.lua
Sniper Rifle Damage;See the sniper rifle's damage;1.0.0;https://raw.githubusercontent.com/uosq/lmaobox-luas/refs/heads/main/sniper%20rifle%20dmg.lua
Transparent Chams;Chams but with transparency;1.0.0;https://raw.githubusercontent.com/uosq/lmaobox-luas/refs/heads/main/transparent%20chams.lua
Med Range;See Medic's Healing/Stop Heal Range;1.0.0;https://raw.githubusercontent.com/uosq/lmaobox-luas/refs/heads/main/med%20range.lua
Laggy Animations;Uses fake lag value to lag your animation;1.0.0;https://raw.githubusercontent.com/uosq/lmaobox-luas/refs/heads/main/laggy%20animations.lua
Runner Helper;LUA Runner Helper to run LUAs externally;1.1.0;https://raw.githubusercontent.com/uosq/lbox-lua-external/refs/heads/main/runner-helper.lua
Transparent Doors;Makes doors transparent;1.0.0;https://raw.githubusercontent.com/uosq/lmaobox-luas/refs/heads/main/transparent%20doors.lua
Outlined ViewModel;Makes viewmodel have a outline;1.0.0;https://raw.githubusercontent.com/uosq/lmaobox-luas/refs/heads/main/viewmodel%20outline.lua
Sydney Extinguisher;Shoot teammates on fire;1.0.0;https://raw.githubusercontent.com/uosq/lmaobox-luas/refs/heads/main/sydney%20extinguisher.lua
Thirdperson Offset;Offsets thirdperson camera;1.0.0;https://raw.githubusercontent.com/uosq/lmaobox-luas/refs/heads/main/thirdperson%20offset.lua
Auto Holiday Punch;Make people laugh;1.0.0;https://raw.githubusercontent.com/uosq/lmaobox-luas/refs/heads/main/auto%20holiday%20punch.lua
Priority Warning;Warns when someone with priority joins and leaves;1.0.0;https://raw.githubusercontent.com/uosq/lmaobox-luas/refs/heads/main/player%20warning.lua
Sticky Radius;Draws circle with stickybomb's radius;1.0.0;https://raw.githubusercontent.com/uosq/lmaobox-luas/refs/heads/main/sticky%20range.lua
Splash Radius;Draws splash damage radius on a rocket;1.0.0;https://raw.githubusercontent.com/uosq/lmaobox-luas/refs/heads/main/splash%20radius.lua
